vehicle_length_m,footway_length_m,footway_ratio,signal_count,crossing_count,vehicle_intersection_count,vehicle_footway_intersection_count,signal_nearest_m,crossing_nearest_m,primary_ratio,secondary_ratio,tertiary_ratio,residential_ratio,service_ratio,unclassified_ratio,trunk_ratio,cell_id,accident_count
3.7835912207781184,155.1878886802205,32.44171199373031,0,0,0,0,1234.9957202696733,1212.2579790651296,0.0,0.0,0.0,0.0,0.7909520371104501,0.0,0.0,500m_25077_7950,0
0.0,0.0,0.0,0,0,0,0,1444.991664479329,1452.8513553226935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25077_7951,0
0.0,304.8758135704509,304.8758135704509,0,0,0,0,1799.516285305876,2507.585244564017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25078_7944,0
0.0,0.0,0.0,0,0,0,0,1306.4007147223163,2023.1929357284982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25078_7945,0
36.69292585848138,856.3221451172597,22.71837819999257,0,0,0,1,822.7177105837601,1549.3202341958854,0.0,0.0,0.0,0.973469822858684,0.0,0.0,0.0,500m_25078_7946,0
2384.103907281113,142.18252717210325,0.05961271822919593,0,0,8,1,385.7507909579382,1099.651925600307,0.0,0.17517715494794903,0.0,0.759176170218778,0.06522740588782056,0.0,0.0,500m_25078_7947,0
1364.4646945616878,1310.2680059935687,0.9595766270721213,1,0,10,4,161.93235784814658,720.9945654053281,0.0,0.20540946842523966,0.0,0.22113493887615893,0.1395635073720475,0.0,0.4331597339124292,500m_25078_7948,0
0.0,564.864170192056,564.864170192056,0,0,0,0,596.6229230723416,576.3589208935975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25078_7949,0
0.0,437.80444619038525,437.80444619038525,0,0,0,0,761.50464336065,765.9280116221526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25078_7950,0
0.0,171.92996651490006,171.92996651490006,0,0,0,0,1068.9852342057507,1037.8093935191364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25078_7951,0
0.0,328.86219935954716,328.86219935954716,0,0,0,0,1794.3198944849523,2442.3295953762245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25079_7944,0
0.0,864.7278991904902,864.7278991904902,0,0,0,0,1299.2339699296376,1941.7306863966114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25079_7945,0
0.0,1238.0674099954556,1238.0674099954556,0,0,0,0,811.290065948047,1441.325744704893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25079_7946,0
