cell_id,n_points,sightline_mean_of_mean,sightline_mean_of_min,sightline_worst_min,sightline_mean_of_std,sightline_mean_open_fraction
500m_25199_7938,8,29.14420027908676,9.254433134784938,3.019554118496477,13.29025188430155,0.5868055555555556
500m_25172_7921,8,18.805182618282736,4.858013041081318,0.7244493659924868,13.533445696341783,0.3611111111111111
500m_25191_7934,8,15.56539857435733,4.078881167982397,1.4653328671325208,11.795759314678634,0.2638888888888889
500m_25192_7899,8,37.31035357224,14.968437696409037,10.858680395808754,13.300618531004481,0.8333333333333334
500m_25184_7895,8,31.583493621717285,10.991163981182662,1.8739408379475961,12.52852592380655,0.6805555555555556
500m_25181_7926,8,11.811566460565363,2.6203186278052195,1.4516896520396907,9.871106879211684,0.15972222222222224
500m_25173_7922,8,29.751125729928017,16.744248792177405,1.6103951629919433,10.719937822681818,0.5659722222222222
500m_25214_7923,8,23.37694454213422,9.796397519289016,1.9357190614100546,12.953298948553801,0.45833333333333337
500m_25165_7918,8,32.62980982030574,16.211842224053747,2.3309756335402843,12.692122393486171,0.6354166666666667
500m_25185_7896,8,22.34818290481936,6.186343584782907,3.1741775191067108,15.404154171702139,0.39583333333333337
500m_25217_7928,8,20.338611339198074,6.958188955395214,1.4828682665434476,12.874570732409103,0.3993055555555556
500m_25207_7920,8,30.971789322959893,10.174279130589266,4.94725370847689,14.646771708112375,0.6423611111111112
500m_25218_7929,8,17.87529946825334,5.078238309508709,2.449373723573365,14.122015855302443,0.3090277777777778
500m_25210_7925,8,33.0362032136472,22.2300011151604,1.5361660479062877,8.27912367623,0.6458333333333333
500m_25176_7932,8,20.951943792614184,5.388413336851533,2.607256665881476,14.526088671670472,0.4027777777777778
500m_25168_7928,8,24.156142310757463,5.271585195365997,2.1920313365388644,14.551746208739583,0.4409722222222222
500m_25187_7941,8,27.613726280124844,8.373458087691844,4.141641462581902,14.842175330866548,0.5381944444444444
500m_25188_7906,8,14.764103499399152,3.6513308348463083,1.7810944354215381,12.844687590057745,0.2326388888888889
500m_25179_7937,8,13.566629939836432,3.5088244771519137,0.9139487905649124,11.551053136262295,0.19791666666666669
500m_25180_7902,8,23.43711194334722,5.400381698576432,2.8693372752545585,13.582550811878065,0.4652777777777778
500m_25199_7915,8,30.190226576761834,10.644101887816586,3.957450769785956,13.591088240659602,0.6006944444444444
500m_25211_7926,8,15.51388668738679,3.924652678324362,2.1147727839849795,12.277073519988342,0.2673611111111111
500m_25203_7922,8,22.51457807658684,8.50308616178474,2.1871775257750414,13.478295955416735,0.4826388888888889
500m_25169_7929,8,17.324849250993246,4.5082233551174955,2.461046063417598,13.307871108456506,0.3159722222222222
500m_25180_7938,8,19.05347078460051,4.470646530170275,2.269997511471821,14.553749579198806,0.34375
500m_25200_7916,8,28.72764631208443,13.392010536774805,4.336212441035166,11.77205224065088,0.5208333333333333
500m_25172_7934,8,17.127917604869182,3.3385203509718213,1.9527312901591358,14.061000041123346,0.2881944444444444
500m_25213_7935,8,23.257080192427665,5.774238943578439,3.893235421548888,14.394623882646993,0.44791666666666663
500m_25206_7932,8,24.51143569578828,7.392355835960272,1.6024421740833559,13.220029344993666,0.4965277777777778
500m_25198_7928,8,40.09721679924413,15.670976047678828,7.5477881559013404,12.401702147809875,0.8368055555555556
500m_25177_7905,8,23.594077649639864,5.942846477905939,2.2767688189275,14.665745786997105,0.46875
500m_25164_7935,8,19.295641793184423,6.2575485921336576,2.272983375643664,12.850762495735912,0.3194444444444445
500m_25175_7944,8,35.13278284052164,17.160317401923656,2.819910525142296,10.156554101882014,0.6944444444444444
500m_25176_7909,8,19.154718809506136,4.74057886270989,1.601174816250743,13.692192981930006,0.3611111111111111
500m_25195_7922,8,50.0,50.0,50.0,0.0,1.0
500m_25179_7914,8,14.856697272474811,4.554357291011854,2.459105759091922,12.163494735319464,0.2465277777777778
500m_25199_7892,8,50.0,50.0,50.0,0.0,1.0
500m_25210_7938,8,25.328736912961283,5.533224258191242,3.2944591543153288,14.622677589199231,0.5243055555555556
500m_25176_7945,8,31.45318822443828,10.919294779857323,4.117482023160846,13.862261662903922,0.6180555555555556
500m_25209_7942,8,27.618749876281363,10.014598981615425,3.829759479214051,14.461477833028699,0.5625
500m_25180_7915,8,19.576228926729563,4.629678045694426,1.3885652712551788,13.884129799487301,0.35416666666666663
500m_25199_7928,8,35.69766972939391,10.421533441121628,3.0171484019461814,15.666482256240489,0.7222222222222222
500m_25172_7911,8,26.868312529138336,9.871233854569807,3.626643318422551,12.95968015736651,0.5451388888888888
500m_25202_7939,8,20.985106761851547,8.02515943638545,1.4354283315209793,10.618470702066904,0.3888888888888889
500m_25194_7935,8,21.994350220679333,8.71500963557749,1.415167730041489,10.497042751782615,0.4097222222222222
500m_25173_7912,8,24.368887870212834,6.947496739554988,2.409263956453854,15.260267212419214,0.45486111111111116
500m_25186_7931,8,20.25178526035954,6.070172481471195,2.6316992801112065,13.607589129500365,0.3680555555555556
500m_25214_7913,8,45.49130390768325,29.13552685290777,5.106218436781901,7.306697242807403,0.9166666666666666
500m_25205_7944,8,18.054880380496375,4.19905727098083,1.9203652720461832,13.7990486009197,0.3368055555555556
